,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
2294,GB Road,,,nan
2295,GD Block Dakshini Pitampura,,,nan
2296,Geetanjali,,,nan
2297,GH 13,,,nan
2298,GH 13 Ambica Vihar,,,nan
2299,GH 14,,,nan
2300,GH9 Block,,,nan
2301,Ghaffar Manzil Colony,,,nan
2302,Gharoli Extension,,,nan
2303,Ghonda,,,nan
2304,Ghondli Village,,,nan
2305,Giri Nagar,,,nan
2306,Gobind Mohalla,,,nan
2307,Gokalpuri,,,nan
2308,Gokul Puri,,,nan
2309,Gold Valley Sector D,,,nan
2310,Golf Club,,,nan
2311,Golf Link 1,,,nan
2312,Gooba Gardens,,,nan
2313,Gopal Nagar Extension,,,nan
2314,Gopal Nagar Extn,,,nan
2315,Gopalpur Village,,,nan
2316,Gopi Nath Bazar,,,nan
2317,Gorakh Park East,,,nan
2318,Gorakh Park West,,,nan
2319,Govind Mohalla Haiderpur,,,nan
2320,Govind Park,,,nan
2321,Govindpuri Extension,,,nan
2322,Govindpuri Extension Kalkaji,,,nan
2323,Greater kailash enclave III,,,nan
2324,Greater Kailash N Block,,,nan
2325,Greater Kailash Part 3,,,nan
2326,GT Karnal Road Industrial Area,,,nan
2327,GTB Staff Colony,,,nan
2328,gujranwala apt vikas puri,,,nan
2329,Gulabhi Bagh,,,nan
2330,Gulshan Park,,,nan
2331,gulshen eqbal,,,nan
2332,Gurpreet Nagar,,,nan
2333,Guru Govind Singh College,,,nan
2334,Guru Govind Singh Road,,,nan
2335,Guru Nanak Nagar,,,nan
2336,Guru Teg Bahadur Nagar,,,nan
2337,Gurudwara Kalgidhar Marg,,,nan
2338,Gurudwara Singh Sabha Marg,,,nan
2339,Gwal Pahari,,,nan
2340,H 2 Sector 16,,,nan
2341,H Block,,,nan
2342,H Block Road,,,nan
2343,Haider Quli,,,nan
2344,Haji Colony,,,nan
2345,Halar Road,,,nan
2346,Hans Raj College Marg,,,nan
2347,Hans Residential Colony,,,nan
2348,Hanuman Kunj,,,nan
2349,Hanumangarh,,,nan
2350,Hardevpuri,,,nan
2351,Hargobind Enclave,,,nan
2352,Hargovind Vihar,,,nan
2353,Hari Enclave,,,nan
2354,Hari Ki Chakki Wali Gali,,,nan
2355,Hari Nagar Janak Park,,,nan
2356,Hari Nagar Pratap Nagar,,,nan
2357,Hari Singh Park,,,nan
2358,Hari Vihar,,,nan
2359,Harijan Basti,,,nan
2360,Harijan Basti,,,nan
2361,haritage appt sec 11,,,nan
2362,Hasanpur Village,,,nan
2363,Hastsal Vihar,,,nan
2364,Hastsal Village,,,nan
2365,Hauzrani Enclave,,,nan
2366,HIG Flats,,,nan
2367,High Rise Society,,,nan
2368,him vihar appartments,,,nan
2369,HIMACHALI APARTMENT,,,nan
2370,Himigiri Enclave,,,nan
2371,Himmatpuri,,,nan
2372,Hiran Kudna,,,nan
2373,Hiranki,,,nan
2374,Hostal Vihar,,,nan
2375,HPL Staff Colony Jangpura A,,,nan
2376,Huda,,,nan
2377,Hudco Colony,,,nan
2378,Hudco Place,,,nan
2379,Humayunpur,,,nan
2380,huze khas app,,,nan
2381,Hyderabad House,,,nan
2382,I G I Airport T3 Road,,,nan
2383,IAA Colony,,,nan
2384,IFCI Colony,,,nan
2385,IGI Airport T3 Road,,,nan
2386,Ignou Road Chhatarpur,,,nan
2387,INA Colony,,,nan
2388,Income Tax Colony,,,nan
2389,Independent House Anand Niketa,,,nan
2390,Inder Enclave Road,,,nan
2391,India Gate,,,nan
2392,Indian Air Lines & Air India E,,,nan
2393,Indira Nagar,,,nan
2394,Indra Nagar,,,nan
2395,Indra Park,,,nan
2396,Indra Park East Extn,,,nan
2397,Indra Vihar I,,,nan
2398,Indra Vikas Colony Bhai Parman,,,nan
2399,IP Colony Indraprasth Colony,,,nan
2400,Iradat Nagar,,,nan
2401,Isapur Khera,,,nan
2402,Ishwar Colony,,,nan
2403,Islam Colony,,,nan
2404,J Block Road,,,nan
2405,J Extension,,,nan
2406,Jafrabad,,,nan
2407,Jagatpuri,,,nan
2408,Jagdamba Vihar Delhi,,,nan
2409,Jagjeet Nagar,,,nan
2410,Jagpura,,,nan
2411,jagran sector 22,,,nan
2412,Jagrati Vihar,,,nan
2413,Jahangirpuri Industrial Area,,,nan
2414,Jahanpanah Monument,,,nan
2415,Jai Bharat Encl,,,nan
2416,Jai Vihar,,,nan
2417,Jai Vihar Colony,,,nan
2418,Jai Vihar Extn,,,nan
2419,Jaidev Park,,,nan
2420,Jain Nagar Extension,,,nan
2421,Jain Park Om Vihar Extension,,,nan
2422,Jal Board Colony,,,nan
2423,Janak Park Pocket 408,,,nan
2424,janakpuri District Center,,,nan
2425,Jangupura Extension,,,nan
2426,Janki Panchal Vihar,,,nan
2427,Janta Flats,,,nan
2428,Jatva Basti,,,nan
2429,Jawahar Nagar,,,nan
2430,Jawaharlal Nehru Camp,,,nan
2431,Jawaharlal Nehru Stadium,,,nan
2432,Jawala Nagar,,,nan
2433,Jhajjar Road,,,nan
2434,Jhandewalan Extn,,,nan
2435,Jhangola,,,nan
2436,Jhatikara,,,nan
2437,Jheel Khurenja,,,nan
2438,jhilmil ind area,,,nan
2439,Jhilmil Industrial Area,,,nan
2440,Jia Sarai,,,nan
2441,Jia Sarai Trail,,,nan
2442,Jitar Nagar,,,nan
2443,JJ Colony,,,nan
2444,JJ Colony No 2,,,nan
2445,JJ Colony No 3,,,nan
2446,Jogabai,,,nan
2447,Johri Enclave,,,nan
2448,Johripur Enclave,,,nan
2449,Johripur Extension,,,nan
2450,Johripur Extn.,,,nan
2451,Joshi Colony,,,nan
2452,Jurbagh,,,nan
2453,Jwalapuri,,,nan
2454,Jyoti Colony,,,nan
2455,Jyoti Nagar,,,nan
2456,Jyoti Nagar West,,,nan
2457,K a l a Mandir Road,,,nan
2458,K a l u Sarai Road,,,nan
2459,k block Road,,,nan
2460,K I Zone Goyla Dairy,,,nan
2461,Kabir Nagar,,,nan
2462,Kabool Nagar,,,nan
2463,Kadambari Road,,,nan
2464,Kadipur Village,,,nan
2465,Kailash Colony Road,,,nan
2466,Kailash Nagar,,,nan
2467,Kailash Park,,,nan
2468,Kailashpuri Road,,,nan
2469,Kailashpuri West,,,nan
2470,kailaspuri road,,,nan
2471,Kakraula Village,,,nan
2472,Kali Mandir Society,,,nan
2473,Kalka Dass,,,nan
2474,Kalka Public School Road,,,nan
2475,Kalu Ram Chowk Road,,,nan
2476,Kalyan Puri,,,nan
2477,Kalyanvas,,,nan
2478,Kamal Park,,,nan
2479,Kamal Pur,,,nan
2480,Kamal Vihar,,,nan
2481,Kamla Nehru Ridge,,,nan
2482,Kangra Niketan,,,nan
2483,Kanhiya Nagar,,,nan
2484,Kanjhawala,,,nan
2485,Kanti Nagar East,,,nan
2486,Kanti Nagar Extension Delhi,,,nan
2487,Kanti Nagar South,,,nan
2488,Karam Pura,,,nan
2489,Karampura Industrial Area,,,nan
2490,Karawal Nagar New Sabhapur,,,nan
2491,Kardam Puri,,,nan
2492,Kardam Puri Extension,,,nan
2493,Karnal Bypass,,,nan
2494,Kartar Nagar,,,nan
2495,Kaseru Walan,,,nan
2496,Kashmiri Gate,,,nan
2497,Kasturba Gandhi Marg,,,nan
2498,Kasturba Niketan,,,nan
2499,Katra Neel,,,nan
2500,Kaushik Enclave Delhi,,,nan
2501,Keshavpur Vegetable Market Blo,,,nan
2502,Kesho Ram Park,,,nan
2503,Keshopur,,,nan
2504,Keshopur Village,,,nan
2505,Keshuram Park,,,nan
2506,Kewal Park,,,nan
2507,Kewal Park Extension,,,nan
2508,KG 1 Road,,,nan
2509,KG 3 Road,,,nan
2510,KG III,,,nan
2511,Khabas Pura,,,nan
2512,Khandsa Colony,,,nan
2513,Khanpur Village,,,nan
2514,Kharkhoda Bahadurgarh Road,,,nan
2515,Khayala,,,nan
2516,Khazoori Khas,,,nan
2517,Khel Gaon,,,nan
2518,Khera Khurd Village,,,nan
2519,Khera Village,,,nan
2520,Khichripur,,,nan
2521,Khidki Village,,,nan
2522,Khoda Colony,,,nan
2523,Khureji Khas,,,nan
2524,Khushi Ram Park,,,nan
2525,Khyala,,,nan
2526,Kilokri,,,nan
2527,Kilokri New Delhi,,,nan
2528,Kiran Vihar Delhi,,,nan
2529,Kishangarh Gaushala Marg,,,nan
2530,Kishangarh Village,,,nan
2531,Kishangarh Village SectorA,,,nan
2532,Koil Camp,,,nan
2533,Kolhapur Road,,,nan
2534,Kondli Extension,,,nan
2535,Kondli Gharoli,,,nan
2536,Kotla Vihar Phase 2,,,nan
2537,Kotla Village,,,nan
2538,Krishna Apartment,,,nan
2539,Krishna Colony,,,nan
2540,Krishna Colony,,,nan
2541,Kucha Chalan,,,nan
2542,Kucha Mahajani,,,nan
2543,Kunwar Singh Nagar,,,nan
2544,Kurenai Village,,,nan
2545,Kusgaon Budruk,,,nan
2546,Kutub Golf Course,,,nan
2547,L Zone Delhi Dwarka,,,nan
2548,L zone dwarka new delhi,,,nan
2549,L Zone Near Dwarka Sector 23,,,nan
2550,L Zone Phase 2,,,nan
2551,L-Zone,,,nan
2552,Ladakh Budh Vihar Colony,,,nan
2553,Lado Sarai Extension,,,nan
2554,Ladrey Mohalla,,,nan
2555,Lady Hardinge Medical College,,,nan
2556,Lahore Apartment,,,nan
2557,Lakhi Nath Kuti,,,nan
2558,Lakhi Ram Park Delhi,,,nan
2559,Lakhmi Nagar IT Hub,,,nan
2560,Lakshman Park Delhi,,,nan
2561,Lal Dora Delhi,,,nan
2562,Lal Gumbad Basti Sadhna Enclav,,,nan
2563,Lal Kuan Bazar,,,nan
2564,Lal Quarter Delhi,,,nan
2565,Lampur,,,nan
2566,Lampur Road,,,nan
2567,Lane H,,,nan
2568,Lawrance Road,,,nan
2569,Lawrence Road Colony,,,nan
2570,Laxman Park,,,nan
2571,Laxmi Vihar,,,nan
2572,lhi west varinder nagarjanakpu,,,nan
2573,Libas Pur,,,nan
2574,LIG MIG Flats,,,nan
2575,LIG Prasad Nagar,,,nan
2576,Link Road,,,nan
2577,LNT Block,,,nan
2578,Lodhi Colony Delhi,,,nan
2579,Lodhi Gardens,,,nan
2580,Loha Mandi Block Y,,,nan
2581,Loknath Puram,,,nan
2582,Lonavala,,,nan
2583,Lord Krishna Road,,,nan
2584,Lotus Enclave,,,nan
2585,Lotus Temple Road,,,nan
2586,Low rise society,,,nan
2587,M a i n Manglapuri Road,,,nan
2588,M a i n Patel Road,,,nan
2589,M a i n Road,,,nan
2590,M a i n Surakhpur Road,,,nan
2591,M B S Nagar,,,nan
2592,M B S Nagar Road,,,nan
2593,M Block New Delhi,,,nan
2594,M K RESIDENCY APARTMENT,,,nan
2595,M2K Marg,,,nan
2596,Madan Park,,,nan
2597,Madangir Camp,,,nan
2598,Madangir Foot Overbridge,,,nan
2599,Madhu Vihar Delhi,,,nan
2600,Madhuban Chowk,,,nan
2601,Madhuban Enclave,,,nan
2602,Madipur,,,nan
2603,Magazine Road,,,nan
2604,Mage Ram Park,,,nan
2605,Maharam Mohalla,,,nan
2606,Maharana Pratap Enclave,,,nan
2607,Mahaveer Nagar,,,nan
2608,Mahavir Enclave II & III,,,nan
2609,Mahavir Enclave Part 2,,,nan
2610,Mahipalpur KBlock,,,nan
2611,Main Bazar Road,,,nan
2612,Main Durga Puri,,,nan
2613,Main Gopal Nagar Road,,,nan
2614,Main High Street,,,nan
2615,Main Market Road,,,nan
2616,Main Road F Pocket,,,nan
2617,Main Sagarpur,,,nan
2618,Majlis Park,,,nan
2619,Majlish Park,,,nan
2620,Majnu Ka Tilla,,,nan
2621,Major Bhupinder Singh Nagar,,,nan
2622,Makanpur Colony,,,nan
2623,Malcha,,,nan
2624,Mall Road,,,nan
2625,Malviya Nagar Delhi Metropolit,,,nan
2626,Malviya Nagar Savitri Nagar,,,nan
2627,Manak Vihar,,,nan
2628,Manak Vihar Extension,,,nan
2629,Mandir Wali Gali,,,nan
2630,Mandoli Extension,,,nan
2631,Mangal Apartment,,,nan
2632,Mangalam Place,,,nan
2633,Mangalpuri I,,,nan
2634,Mangol Pur Kalan,,,nan
2635,Mangolpuri H Block,,,nan
2636,Mansi Vihar,,,nan
2637,Mansingh Nagar,,,nan
2638,Mansingh road,,,nan
2639,Marium Nagar,,,nan
2640,Masair Garden,,,nan
2641,Masihgarh,,,nan
2642,Masjid Moth Phase I,,,nan
2643,Masudabad,,,nan
2644,Masudpur Village,,,nan
2645,Mata Rameshwari Nehru Nagar,,,nan
2646,Mathura Road  Jasola,,,nan
2647,Mathura Road New Friends Colon,,,nan
2648,Matiala Extn,,,nan
2649,Matiala Nanhe Park,,,nan
2650,Maulana Azad Medical College C,,,nan
2651,Maurice Nagar,,,nan
2652,Mausam Vihar,,,nan
2653,Mawai Village,,,nan
2654,Mayapuri Industrial Area Phase,,,nan
2655,Mayapuri Phase II New Delhi,,,nan
2656,Mayur Vihar 2 Phase,,,nan
2657,Mayur Vihar I ext,,,nan
2658,Mayur Vihar Phase 1 Kotla,,,nan
2659,Mayur Vihar Phase 2 Pocket F,,,nan
2660,Mayur Vihar Phase II,,,nan
2661,Mayur Vihar Phase II Pocket B,,,nan
2662,Mayur Vihar Pocket D,,,nan
2663,MBS Nagar Block WZ,,,nan
2664,MBS Nagar Road,,,nan
2665,Meera Kunj,,,nan
2666,Meet Nagar,,,nan
2667,Milakpur Kohi Rangpuri,,,nan
2668,Milan Vihar,,,nan
2669,Mini Market,,,nan
2670,Minto Road Complex,,,nan
2671,Mittal Garden,,,nan
2672,MMTC Colony,,,nan
2673,Model Town Phase I,,,nan
2674,Mohammadpur Majri,,,nan
2675,Mohan Block,,,nan
2676,Mohan Park,,,nan
2677,Mohanpuri Vijay Park,,,nan
2678,Mohit Nagar,,,nan
2679,Mool Chand Hospital,,,nan
2680,Mother Dairy,,,nan
2681,Mother Dairy Plant,,,nan
2682,Mother Teresa Drive,,,nan
2683,Moti Ram Road,,,nan
2684,Motia Khan,,,nan
2685,Mubarak Pur,,,nan
2686,Mubarkpur,,,nan
2687,Mukherjee Park Extension,,,nan
2688,Mukherji Park,,,nan
2689,Mukhmelpur Village,,,nan
2690,Mukhram Garden,,,nan
2691,Multan Mohalla,,,nan
2692,Multani Dhanda,,,nan
2693,Muncipal Corporation Of Delhi ,,,nan
2694,Mundhela Khurd,,,nan
2695,Munirka Street,,,nan
2696,Muradi Road,,,nan
2697,Mustafabad Extension,,,nan
2698,Mustafabad Extn,,,nan
2699,Nabi Karim,,,nan
2700,Nai Basti Delhi,,,nan
2701,Nai Sarak,,,nan
2702,Nai Walan,,,nan
2703,Najafgarh Bahadurgarh Road,,,nan
2704,Najafgarh Dauralla Road,,,nan
2705,Najafgarh Extension,,,nan
2706,Najafgarh Kapashera Road,,,nan
2707,Najafgarh Road,,,nan
2708,Nanak Heri Village,,,nan
2709,Nanak Pura,,,nan
2710,Nand Nagri,,,nan
2711,Nand Ram Park,,,nan
2712,Nanda Road,,,nan
2713,Nangal Dewat,,,nan
2714,Nangal Raya,,,nan
2715,Nangli Dairy,,,nan
2716,Nangli Poona,,,nan
2717,Nangli Vihar Extension,,,nan
2718,Nangloi Najafgarh Road,,,nan
2719,Nanhey Park,,,nan
2720,Nankheri,,,nan
2721,Narang Colony,,,nan
2722,Narwana Rd,,,nan
2723,Narwana Road,,,nan
2724,Nasirpur Extn,,,nan
2725,Nathu Colony,,,nan
2726,National Highway 48,,,nan
2727,National Market,,,nan
2728,National Park,,,nan
2729,Nauroji Nagar,,,nan
2730,Nav Bharat Appartements,,,nan
2731,Naveen Kunj Society,,,nan
2732,Naveen Palace,,,nan
2733,Navjivan Buddh Vihar,,,nan
2734,navkarali sec 3,,,nan
2735,Navyug Adarsh Apartment,,,nan
2736,Naya Bans,,,nan
2737,Nayaya Marg,,,nan
2738,Nazarbagh,,,nan
2739,NCERT Campus,,,nan
2740,NDPL Colony,,,nan
2741,NEAR BY IGI AIRPORT,,,nan
2742,Near hero moto corp,,,nan
2743,Near Janakpuri,,,nan
2744,Near NSP gopal mandir city par,,,nan
2745,Near Sector 1,,,nan
2746,Near Sector 14 Redisson blue,,,nan
2747,Nehru Gali,,,nan
2748,Nehru Place Pedestrian Subway,,,nan
2749,Nehru Vihar,,,nan
2750,Nepali Mandir Road,,,nan
2751,New Aruna Nagar,,,nan
2752,New Brij Puri,,,nan
2753,New Chauhanpur,,,nan
2754,New Delhi Main Road,,,nan
2755,NEW DEPLOMATICE EMBASSY,,,nan
2756,New Embessy,,,nan
2757,New Gopal Nagar,,,nan
2758,New Guru Hari Kishan Nagar,,,nan
2759,New Jagat Puri Extension,,,nan
2760,New Layal Pur Colony,,,nan
2761,New Manglapuri,,,nan
2762,New Modern Shahdara,,,nan
2763,New Moti Bagh,,,nan
2764,New Multan Nagar,,,nan
2765,New Patel Nagar,,,nan
2766,New Patpar Ganj Road,,,nan
2767,New Rajdhani Enclave,,,nan
2768,New Ranjit Colony,,,nan
2769,New Roshan Pura Extn,,,nan
2770,New Roshanpura,,,nan
2771,New Sabhapur Karwal Nagar,,,nan
2772,New Seelampur I,,,nan
2773,New Shabhapur Gujran,,,nan
2774,New Simapuri,,,nan
2775,New Usmanpur,,,nan
2776,NH 1,,,nan
2777,Nicholson Road,,,nan
2778,Nikhil Vihar,,,nan
2779,Nikhil Vihar Colony,,,nan
2780,Nilothi Road,,,nan
2781,Nimri Colony,,,nan
2782,Nipccd Campus,,,nan
2783,Niranjan Park,,,nan
2784,Nishat Park,,,nan
2785,Nivedita Kunj,,,nan
2786,Noor Nagar Extn I,,,nan
2787,North Chhajupur,,,nan
2788,North Ex Model Town,,,nan
2789,NPL Staff Quarters,,,nan
2790,NRI Colony,,,nan
2791,Nursigh Garden Block A,,,nan
2792,O l d Palam Road,,,nan
2793,O l d R K Ashram Marg,,,nan
2794,Okhla Disposal Area,,,nan
2795,okhla estate,,,nan
2796,Okhla Estate Marg,,,nan
2797,okhla estate modi mill,,,nan
2798,Okhla Head Road,,,nan
2799,Okhla I,,,nan
2800,Okhla Phase II,,,nan
2801,Okhla Phase III,,,nan
2802,Okhla Sabzi Mandi,,,nan
2803,Okhla Vihar Block A,,,nan
2804,Okhla Vihar Block C,,,nan
2805,Okhla Vihar Block D,,,nan
2806,Old Dariya Ganj,,,nan
2807,Old M B Road,,,nan
2808,Old Mahavir Nagar,,,nan
2809,Old Mustafabad,,,nan
2810,Old Palam Road,,,nan
2811,Old Rajinder Market,,,nan
2812,Old Ranjeet Nagar,,,nan
2813,Old Sabji Mandi,,,nan
2814,Old Sahib Pura,,,nan
2815,Old Seelampur,,,nan
2816,Old Som Bazar Road,,,nan
2817,Oldanpur,,,nan
2818,Om Vihar Extn,,,nan
2819,Omar Masjid Road,,,nan
2820,Om Vihar Extn,,,nan
2821,Omar Masjid Road,,,nan
2822,Onkar Nagar,,,nan
2823,Osho Drive,,,nan
2824,Osho Drive Sultanpur Mandi Roa,,,nan
2825,Other,,,nan
2826,Outer Ring Road,,,nan
2827,Outram Line,,,nan
2828,Outram Lines Road,,,nan
2829,Paathshala Marg,,,nan
2830,Padam Nagar,,,nan
2831,Padhan Enclave,,,nan
2832,Padmini Enclave,,,nan
2833,Pahar Ganj,,,nan
2834,Pahari Dhiraj,,,nan
2835,Paharwa Colony,,,nan
2836,Pai Walan,,,nan
2837,Palam Dabri Marg,,,nan
2838,Palam Dabri Road,,,nan
2839,Palam Enclave,,,nan
2840,Pali Factory Road,,,nan
2841,Panchkuia Road,,,nan
2842,Panchkulan Road,,,nan
2843,Panchsheel Garden,,,nan
2844,Panchwathi,,,nan
2845,Pandara Road,,,nan
2846,Pandit Deen Dayal Upadhyaya Ma,,,nan
2847,pandwala kalai schools,,,nan
2848,Pandwala khurd,,,nan
2849,Pandwalan Khurd,,,nan
2850,Papankalan,,,nan
2851,Paprawat,,,nan
2852,Paprawat Village,,,nan
2853,Park Facing,,,nan
2854,Parmanand Colony West,,,nan
2855,Parshwapuram,,,nan
2856,Part 1,,,nan
2857,Part 2,,,nan
2858,Part 4,,,nan
2859,Part B,,,nan
2860,Partappura,,,nan
2861,Paschim Vihar A1 Block Paschim,,,nan
2862,Paschim Vihar Block GH 13,,,nan
2863,Paschim Vihar Extension,,,nan
2864,Patel Road,,,nan
2865,Pathan Pura,,,nan
2866,Patpar Ganj Road,,,nan
2867,Paul Colony,,,nan
2868,PD Block Delhi,,,nan
2869,Pedestrian Underpass,,,nan
2870,Peer Baba Road,,,nan
2871,Phase 1,,,nan
2872,Phase 1,,,nan
2873,Phase 1,,,nan
2874,Phase 1,,,nan
2875,Phase 1,,,nan
2876,Phase 1,,,nan
2877,Phase 1,,,nan
2878,Phase 2,,,nan
2879,Phase 3,,,nan
2880,Phase 3,,,nan
2881,Phase 3,,,nan
2882,Phase 3 Mayur Vihar,,,nan
2883,Phase 4,,,nan
2884,Phase 5,,,nan
2885,Phase I,,,nan
2886,Phase II,,,nan
2887,Phase II,,,nan
2888,Phase II Vijay Vihar Vijay Vih,,,nan
2889,Phase V,,,nan
2890,Phase V Nai Dilli,,,nan
2891,PI Delhi,,,nan
2892,Pilanji,,,nan
2893,Pink Apartments,,,nan
2894,Pira Garhi,,,nan
2895,Pitam Pura KU Block,,,nan
2896,Pitampura Block KD,,,nan
2897,Pitampura Block NP,,,nan
2898,Pitampura Block TU,,,nan
2899,Pitampura BU Block,,,nan
2900,Pitampura PD Block,,,nan
2901,Plot No 2 Gali No 2 Rajpur Ext,,,nan
2902,Plot Number 27,,,nan
2903,Pocket 10 Sector I,,,nan
2904,Pocket 11 Sector24,,,nan
2905,Pocket 12 Sector 20,,,nan
2906,Pocket 13 Sector 20,,,nan
2907,Pocket 15 Sector24,,,nan
2908,Pocket 16 Sector24,,,nan
2909,Pocket 17 Sector24,,,nan
2910,Pocket 19 Sector24,,,nan
2911,Pocket 2 Sector 6,,,nan
2912,Pocket 4 Sector C,,,nan
2913,Pocket 4 Sector24,,,nan
2914,Pocket 5,,,nan
2915,Pocket 5 Sector24,,,nan
2916,Pocket 52 Sector 9,,,nan
2917,Pocket 6 Sector24,,,nan
2918,Pocket 7 Sector24,,,nan
2919,Pocket 9 Sector 21,,,nan
2920,Pocket A 1,,,nan
2921,Pocket B,,,nan
2922,Pocket I Road,,,nan
2923,Pocket K,,,nan
2924,Pocket1 Sector24,,,nan
2925,Pocket2 Sector24,,,nan
2926,Police Colony,,,nan
2927,Police Colony,,,nan
2928,Police Colony,,,nan
2929,Police Colony,,,nan
2930,Police Colony Pocket J,,,nan
2931,Poorvi Marg,,,nan
2932,Possangipur,,,nan
2933,Pragati Maidan,,,nan
2934,Prahlad Vihar,,,nan
2935,Prakash Vihar,,,nan
2936,Prasad Nagar,,,nan
2937,Prashant Vihar Road,,,nan
2938,Pratap Enclave,,,nan
2939,Pratap Nagar,,,nan
2940,Pratap Vihar Part III,,,nan
2941,Pratap Vihar Part III Delhi,,,nan
2942,Prem Nagar II,,,nan
2943,Prem Nagar III,,,nan
2944,Prem Vihar 3A Colony,,,nan
2945,Press Colony,,,nan
2946,Press Enclave Marg,,,nan
2947,Prithvi Park,,,nan
2948,Private Colony,,,nan
2949,Priya Priyadarshini Vihar,,,nan
2950,Pulpehladpur,,,nan
2951,Punjabi Bagh Bhagwan Das Nagar,,,nan
2952,Punjabi Bagh Cooperative Housi,,,nan
2953,Punjabi Bagh Enclave,,,nan
2954,Punjabi Bagh Manohar Park,,,nan
2955,Punjabi Basti,,,nan
2956,Pusa,,,nan
2957,Pusa Institute,,,nan
2958,Pushpanjali,,,nan
2959,Pusta Number 2,,,nan
2960,Puthkhurd,,,nan
2961,Qutab Enclave,,,nan
2962,Qutab Institutional Area,,,nan
2963,Qutub Enclave,,,nan
2964,Qutub Intl Area,,,nan
2965,Qutub Minar Complex Road,,,nan
2966,R a m a Park Road,,,nan
2967,R a m Nagar Road,,,nan
2968,R D apartment,,,nan
2969,R K Puram Sector 9 Road,,,nan
2970,Race Course Road,,,nan
2971,Radhe Mohan Drive,,,nan
2972,Radhu Place,,,nan
2973,Raghu Nagar,,,nan
2974,Rahul Garden,,,nan
2975,Rail Vihar,,,nan
2976,Railway Colony North,,,nan
2977,Railway Factory Road,,,nan
2978,Raj Nagar I,,,nan
2979,Raj Nagar Part 2,,,nan
2980,raj nager,,,nan
2981,raj vihar sector 18,,,nan
2982,Rajan Enclave,,,nan
2983,Rajbir Colony,,,nan
2984,Rajdhani Park,,,nan
2985,Rajeev Colony,,,nan
2986,Rajeev Nagar,,,nan
2987,Rajendra Park Extension,,,nan
2988,Rajgarh Colony,,,nan
2989,Rajgarh Colony Delhi,,,nan
2990,Rajiv Nagar,,,nan
2991,Rajiv Nagar Extension,,,nan
2992,Rajiv Nagar Extension Delhi,,,nan
2993,Rajiv Park,,,nan
2994,Rajokri Village,,,nan
2995,Rajpur Road,,,nan
2996,Rajpura,,,nan
2997,rajput sec 12,,,nan
2998,Raju Enclave,,,nan
2999,Raju Enclave Sector 15 Dwarka,,,nan
3000,Raju Extension,,,nan
3001,Ram Bagh,,,nan
3002,Ram Colony,,,nan
3003,Ram Nagar,,,nan
3004,Ram Nagar Block A,,,nan
3005,Ram Nagar Market,,,nan
3006,Ram Nagar Road,,,nan
3007,Ram Swaroop Vidyarthi Marg,,,nan
3008,Rama Enclave,,,nan
3009,Rama Garden,,,nan
3010,Rama Nagar,,,nan
3011,Rama Vihar,,,nan
3012,Rama Vihar Block E,,,nan
3013,Rama Vihar Sector 39,,,nan
3014,RamaKrishna Ashram Marg,,,nan
3015,Ramchander Enclave I & II,,,nan
3016,Ramnagar New Delhi,,,nan
3017,Rampuri,,,nan
3018,Ramzanpur,,,nan
3019,Rangpuri Nallapar,,,nan
3020,Rangpuri Pahari,,,nan
3021,Rani Garden Delhi,,,nan
3022,Ranjeet Vihar,,,nan
3023,Ranjit Vihar I,,,nan
3024,Ranjit ViharI Delhi,,,nan
3025,Ratan Lal Market,,,nan
3026,Ratan Vihar,,,nan
3027,Rawta More,,,nan
3028,RBI Colony,,,nan
3029,RBI Officers Colony,,,nan
3030,RC BastiBlock WZ,,,nan
3031,Regarpura,,,nan
3032,Reserve Bank Colony Block BE,,,nan
3033,Reserve Bank Enclave,,,nan
3034,Residencial Property,,,nan
3035,Residential Complex,,,nan
3036,Residential Flat Malviya Nagar,,,nan
3037,Residential Flat Raghubir Naga,,,nan
3038,Residential Flat Rohini,,,nan
3039,Residential Floor Greater Kail,,,nan
3040,Residential Floor Safdarjung E,,,nan
3041,Residential House Preet Vihar,,,nan
3042,Revanta Smart Residency L Zone,,,nan
3043,Ring Road  Lajpat Nagar,,,nan
3044,Ring Road Model Town,,,nan
3045,Rishabh Park,,,nan
3046,Rishi Nagar,,,nan
3047,Rithala Road,,,nan
3048,Road No 28,,,nan
3049,Road Number 20,,,nan
3050,Rohini Jain Nagar,,,nan
3051,Rohini Mangalam Place,,,nan
3052,Rohini Rajeev Nagar,,,nan
3053,Rohit Kunj Delhi,,,nan
3054,Rohitash Nagar East,,,nan
3055,Rohtash Nagar,,,nan
3056,Roopam Wala Kunwa,,,nan
3057,Roshan Garden,,,nan
3058,Roshan Vihar 1,,,nan
3059,Roshanara Road,,,nan
3060,RPS Colony,,,nan
3061,RST Enclave,,,nan
3062,Ruchi Vihar,,,nan
3063,Rupali Enclave,,,nan
3064,S block,,,nan
3065,S i r i Fort Road,,,nan
3066,Saboli Extension,,,nan
3067,Sabzi Mandi,,,nan
3068,Sabzi Mandi,,,nan
3069,Sadatpur,,,nan
3070,Sadatpur Extension,,,nan
3071,Sadh Nagar,,,nan
3072,Sadh Nagar II,,,nan
3073,Sadiq Nagar,,,nan
3074,Sai Baba Encl.,,,nan
3075,Sai Niwara Bharat Vihar,,,nan
3076,Saidujab extension,,,nan
