,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
251,rohini sector 5,,,5833.33
252,Uttam Nagar Vani Vihar,,,4375
253,Devli,,,9862.5
254,Paryavaran Complex Main,,,4250.28
255,Phase 2 Chattarpur Enclave,,,nan
256,Shukar Bazar Road,,,nan
257,Uttam Nagar Jain Colony Part 1,,,nan
258,Vijay Chowk Road,,,nan
259,Bamnoli Sector 28 Dwarka,,,5172.84
260,Nangloi,,,774.83
261,Nirman Vihar,,,11839.1
262,Shanti Park Dwarka,,,8102.68
263,Chilla Sarda Bangar Delhi,,,nan
264,Jain Park,,,nan
265,Kirti Nagar,,,21503.17
266,Raju Park,,,4463.84
267,Santnagar,,,4428.63
268,IP Extension,,,11762.02
269,Loni,,,5651.87
270,Nehru Place,,,nan
271,Dwarka Sector 11 Pocket 4,,,53589.26
272,Kamla Nagar,,,293.63
273,North Campus,,,29831.19
274,Om Vihar Extn Delhi,,,4662.86
275,Sector 12 Dwarka Pocket 3,,,10128.78
276,Sector-14 Rohini,,,15131.02
277,Subhash Nagar,,,nan
278,Westend,,,7702.11
279,Ashok Nagar,,,6884.79
280,Dabri,,,10802.96
281,east delhi,,,12340.89
282,GANESH NAGAR PANDAV NAGAR COMP,,,nan
283,Greater kailash III,,,nan
284,Gyan Kunj,,,nan
285,Laxmi Nagar Commercial Complex,,,nan
286,Pandav Nagar,,,1457.06
287,Sheikh Sarai,,,14514.72
288,Block J,,,5925.93
289,Block L,,,nan
290,Rohini sector 24,,,1017.32
291,Arjun Nagar,,,8287.29
292,Dwarka 10 Sector,,,536.84
293,Mahavir Enclave Bengali Colony,,,555.11
294,Mandawali,,,4646.3
295,Narayan Nagar,,,nan
296,Rama Park Block B,,,6271.6
297,Sector-8 Rohini,,,13703.7
298,Bank Enclave,,,1462.5
299,Block D,,,nan
300,Ismailpur Road,,,nan
301,Jasola Vihar Sector 8 Road,,,9322.82
302,Ratan Park,,,nan
303,Dwarka sec 6,,,8811.73
304,Gurgaon Delhi Expressway,,,9344.21
305,Gurudwara Road,,,5371.54
306,Jaitpur Extension,,,nan
307,L Zone Delhi,,,4374.09
308,MG Road Ghitorni,,,1927.29
309,Sahibabad,,,7497.31
310,Sector 21 Dwarka,,,4371.43
311,Aakash Vihar,,,nan
312,Badarpur Village,,,nan
313,Block F,,,nan
314,Harkesh Nagar,,,nan
315,Mithapur Extension,,,nan
316,Ratan Park Delhi,,,nan
317,Sector 15 Rohini,,,10879.63
318,Main Rajapuri Road,,,3333.33
319,Narela,,,7274.73
320,Nawada Extension,,,5555.56
321,Sadulajab,,,3950.62
322,Vasant Kunj Enclave,,,12156.71
323,Mansarovar garden,,,7121.88
324,Naraina,,,6666.67
325,Om Vihar Phase 5,,,nan
326,Saraswati Vihar,,,8357.14
327,SECTOR 18 DWARKA NEW DELHI,,,9227.84
328,Block J Vishwakarma Park,,,nan
329,Dwarka Sector 7,,,8827.84
330,Guru Nanak Pura,,,nan
331,Maidan Garhi,,,nan
332,S D A,,,nan
333,Sector 28 Dwarka,,,4467.46
334,Sector-18 Rohini,,,1243.7
335,Sri Chand Park,,,nan
336,Connaught Place,,,44218.75
337,Abul Fazal Enclave Jamia Nagar,,,5128.21
338,batla house,,,nan
339,Begampur Park,,,6812.9
340,CR Park Main Road,,,16444.44
341,DLF Dilshad Extention II Dilsh,,,nan
342,Geeta Colony,,,10402.22
343,Kalindi Kunj Road,,,18218.41
344,Rajpur Khurd Village,,,6985.42
345,Sector 34 Rohini,,,nan
346,Taimoor Nagar,,,nan
347,Karampura,,,15708.28
348,Chattarpur Enclave,,,3510.8
349,Dwarka 8 Sector,,,7444.44
350,DWARKA SEC 23,,,8463.06
351,Fateh Nagar,,,9411.76
352,Freedom Fighters Enclave,,,4288.07
353,Milap Nagar,,,nan
354,Sector 18 Sector 18A Dwarka,,,10344.15
355,Shivaji Marg,,,15741.67
356,Vijay Nagar,,,7148.67
357,Kapashera,,,5486.11
358,Block H Lajpat Nagar I,,,nan
359,Chattarpur Mandir Road,,,nan
360,Chhatarpur Extension,,,nan
361,Dwarka Sub City,,,9509.9
362,East Patel Nagar,,,8000
363,Nawada Sainik Nagar,,,5454.55
364,Okhla Phase I,,,nan
365,Prashant Vihar,,,nan
366,SECTOR 7 DWARKA NEW DELHI,,,10737.49
367,Shaheen Bagh Jamia Nagar,,,nan
368,Block E Lajpat Nagar I,,,nan
369,Chattarpur Enclave Phase 1,,,nan
370,Indraprastha,,,11551.25
371,Krishna Park Jawahar Park,,,3720.97
372,Malviya Nagar Block G,,,nan
373,Mundka,,,3672.24
374,Pitampura near NSP,,,nan
375,Sector-23 Rohini,,,8428.82
376,Vani Vihar New Uttam Nagar,,,nan
377,West Patel Nagar,,,nan
378,Sector 16B Dwarka,,,8516.23
379,Alaknanda DDA Flats Road,,,18480.2
380,Bindapur Matiala Road,,,nan
381,Block K Jagat Ram Park,,,nan
382,Faridabad Road,,,nan
383,Freedom Fighter Enclave Road,,,4253.41
384,Rajpur,,,4232.22
385,Shakarpur,,,6250
386,Uttam Nagar Gulabhi Bagh,,,nan
387,Mandi,,,4636.84
388,Sector 26 Dwarka,,,5243.94
389,GTB Nagar,,,nan
390,Manas Kunj New Uttam Nagar,,,nan
391,Mansarover Garden,,,1000
392,Ramesh Park Street Number 10,,,nan
393,Shakti Nagar,,,22370.68
394,Som Vihar,,,28333.33
395,devli export enclave,,,3973.46
396,Hastsal,,,5833.33
397,Kohat Enclave,,,nan
398,Mayur Vihar I Extension,,,nan
399,Prem Nagar,,,nan
400,Rajapuri East Uttam Nagar,,,4509.8
401,Rajinder Nagar,,,22222.22
402,Ramesh Park K Block Road,,,nan
403,Sagarpur,,,nan
404,Sector 23,,,8605.71
405,Sector-B Vasant Kunj,,,16824.4
406,SULTANPUR,,,4761.54
407,Tri Nagar,,,11870.38
408,Deoli Gaon Nai Basti,,,317.63
409,Gulmohar Enclave,,,21808.71
410,Kalkaji Govindpuri,,,9322.92
411,Khera Khurd,,,9125
412,Manglapuri,,,9453.97
413,PANCHSHEEL VIHAR,,,4814.81
414,Prashant Vihar Sector 14,,,nan
415,Sector 19B,,,15555.34
416,Sector 29 Dwarka,,,4528.44
417,Sector 9 Rohini,,,22768.67
418,Shahpur Jat,,,7333.33
419,Zakir Bagh,,,nan
420,Bakkarwala,,,7500
421,Bank Colony,,,3160.49
422,Kotla Mubarakpur,,,19978.63
423,Malka Ganj,,,77564.1
424,Molarband School Road,,,nan
425,New Friends Colony East,,,nan
426,Razapur Khurd,,,4540.28
427,Shaheen Bagh,,,nan
428,Sukar Bazar Road,,,nan
429,Vasant Kunj Marg,,,15449.02
430,Vivek Vihar,,,11733.09
431,Bank Colony Deoli,,,2888.89
432,Bhagwati Garden,,,4670
433,Gagan Vihar Mithapur Extension,,,nan
434,Gharoli,,,10487.18
435,Kalkaji Extension,,,10735.93
436,KarKardooma,,,7458.85
437,Noida Sector 52,,,6371.58
438,Sudarshan Park,,,11158.02
439,Swami Nagar,,,nan
440,Vijay Chowk,,,nan
441,Baba Road,,,nan
442,Bal Udhyan Road,,,nan
443,Chirag Delhi,,,11406.25
444,D K Road,,,11309.94
445,DWARKA SECTOR 9,,,10563.29
446,GK1 W Block Greater Kailash,,,nan
447,Khushi Ram Park Delhi,,,nan
448,Laxmi Park,,,nan
449,Madhu Vihar,,,11541.67
450,Molar band Extension,,,nan
451,Munirka Vihar,,,14117.65
452,Om Enclave Mithapur Extension,,,nan
453,Paharganj,,,nan
454,Pocket 2 Sector 6 Dwarka,,,10415.58
455,Rajpur Khurd Extension,,,nan
456,Soami Nagar South,,,nan
457,Zakir Nagar,,,4916.67
458,Amar colony,,,nan
459,Geeta Colony Road,,,nan
460,Gujranwala Town,,,10146.1
461,Guru Harkishan Nagar,,,nan
462,Hemkunt Colony,,,nan
463,Kalyan Vihar,,,3589.74
464,New Rohtak Road Karol Bagh,,,nan
465,Park End,,,nan
466,Pipal Wala Road,,,4612.04
467,Sector 19,,,12156.18
468,shyam vihar,,,nan
469,South Anarkali Delhi,,,11111.11
470,Sunlight Colony,,,6857.14
471,West Guru Angad Nagar,,,nan
472,Ashok Vihar Phase-1,,,8641.98
473,Block B Lajpat Nagar I,,,nan
474,Block I Lajpat Nagar II,,,nan
