,Neighborhoods,Districts,Latitudes,Longitudes
168,Fateh Nagar,West Delhi,28.63147,77.10316
169,Janakpuri,West Delhi,28.62792,77.0906
170,Kirti Nagar,West Delhi,28.64821,77.14273
171,Meera Bagh,West Delhi,28.65843,77.08697
172,Moti Nagar,West Delhi,28.65673,77.12961
173,Nehru Nagar,West Delhi,28.66395,77.16614
174,Partap Nagar,West Delhi,28.67083,77.1943
175,Paschim Vihar,West Delhi,28.66933,77.09174
176,Patel Nagar,West Delhi,28.64783,77.16449
177,Punjabi Bagh,West Delhi,28.66634,77.12501
178,Rajouri Garden,West Delhi,28.64563,77.12209
179,Shivaji Place,West Delhi,28.65265,77.1214
180,Tihar Village,West Delhi,28.63547,77.10779000000001
181,Tilak Nagar,West Delhi,28.640890000000002,77.08923
182,Uttam Nagar,West Delhi,28.6174,77.05281
183,Vikas Nagar,West Delhi,28.640079999999998,77.03435
184,Vikaspuri,West Delhi,28.644640000000003,77.07511
