,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
508,DLF Phase 5,,,12375.48
509,DPS Matiyala,28.61269,77.04903,8750.75
510,Dr Ambedkar Colony,28.50509,77.18013,4666.67
511,Govindpura Old,28.53509,77.26512,6112.91
512,Hailey Road,28.62586,77.22675,43243.24
513,Katwaria Sarai,28.54183,77.18656,8125.0
514,Masjid Moth Village,28.56218,77.21849,7000.0
515,masoodpur,28.52744,77.15638,14629.63
516,Maya Enclave,28.61797,77.10641,8771.65
517,New Layal Pur,28.65203,77.28727,5000.0
518,Peeragarhi Village,28.67589,77.09143,592.07
519,Rajiv Chowk,28.63309,77.21944,11000.0
520,Residential Floorsector,,,13137.79
521,Sarojini Nagar,28.5756,77.19365,4526.75
522,Sector 18,28.5695,77.0266,11183.57
523,Sector 8B,28.57299,77.1642,13240.74
524,Shreshtha Vihar,28.6572,77.31804,12444.44
525,Shyam Enclave,28.65402,77.30482,5555.56
526,Surhera,28.59824,76.93687,4300.0
527,Vishal Enclave,28.65079,77.11878,3724.14
528,82 Sector 22 Road,28.55667,77.05822,5462.17
529,85 Sector 22 Road,28.55667,77.05822,5720.0
530,AKSHARDHAM,28.61333,77.28307,23171.14
